%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number
1574069842551257818,254,1574069842551061756,,16.3169994354,-2.05999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069842805127076,255,1574069842804758969,,16.3150005341,-1.97000002861,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069843098912632,256,1574069843098663761,,16.3199996948,-1.73000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069843372280942,257,1574069843371939608,,16.2549991608,-1.99000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069843693822397,258,1574069843693517386,,16.3129997253,-2.04999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069844004607106,259,1574069844004438662,,16.3349990845,-1.19000005722,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069844271987642,260,1574069844271597456,,16.267999649,-1.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069844571256201,261,1574069844571084110,,16.3400001526,-0.699999988079,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069844871010788,262,1574069844870635381,,16.3400001526,-0.300000011921,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069845139536301,263,1574069845139314986,,16.3439998627,-0.300000011921,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069845390683996,264,1574069845390354388,,16.2770004272,-0.370000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069845681994708,265,1574069845681750329,,16.3470001221,-0.340000003576,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069845966065932,266,1574069845965725925,,16.343000412,-0.319999992847,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069846216011098,267,1574069846215798226,,16.3010005951,-0.270000010729,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069846480402502,268,1574069846480144010,,16.3439998627,-0.319999992847,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069846715229907,269,1574069846715023987,,16.5720005035,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069846962052747,270,1574069846961646633,,16.4039993286,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
