%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069833091494663,230,1574069833091159033,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069833364857290,231,1574069833364691891,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069833648120635,232,1574069833647722506,,0,1779,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069833907316666,233,1574069833907144522,,0,1780,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069834172258765,234,1574069834171964264,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069834429663974,235,1574069834429505590,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069834719427758,236,1574069834719090112,,0,1804,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069835011481441,237,1574069835011266465,,0,1805,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069835275637021,238,1574069835274846488,,0,1805,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069835525761552,239,1574069835525581903,,0,1805,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069835785338998,240,1574069835785037502,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069836052092938,241,1574069836051753050,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069836301161820,242,1574069836300901339,,0,1805,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069836563955163,243,1574069836563751780,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069836821984450,244,1574069836821761249,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069837088907660,245,1574069837088615289,,0,1805,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069837384680089,246,1574069837384437155,,0,1805,1494,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
